Current(A),Test_Time(s),Voltage(V),Charge_Capacity(Ah),dV/dQ(V/Ah),dQ/dV(Ah/V),Charge_Energy(Wh),Power(W),Downsampled Voltage (V),Downsampled Capacity (Ah),dQ/dV from downsampled Voltage (Ah/V),dV/dQ from downsampled Cpacity (V/Ah),Downsampled Energy (Wh),Downsampled Power (W),dP/dE from downsampled Energy (W/Wh),dQ/dV from LEAN (Ah/V),Delta_V (V) in LEAN
0.14997,77206.487,3.3381,0.10495,1.8492,0.55016,0.3356,0.50061,3.3381,0.10495,0.5555555555555625,1.7999999999999543,0.3356,0.5006496536796529,0.0791834065215404,3.839978218686558,0.005599999999999999
0.14998,77266.488,3.3426,0.10745,,0.56064,0.34394,0.50132,3.3426,0.10745,0.5619396209283778,1.7799999999999727,0.34394,0.5012985714285707,0.0773425369930258,3.8920122081746573,0.005599999999999999
0.14997,77326.486,3.347,0.10995,1.7632,0.57706,0.3523,0.50195,3.347,0.10995,0.5897026216251309,1.7000000000001592,0.3523,0.5019412554112548,0.0757602043154221,3.9001138858707174,0.005599999999999999
0.14997,77386.486,3.3511,0.11245,,,0.36067,0.50256,3.3511,0.11245,0.6174721469436744,1.6199999999998909,0.36067,0.5025660173160167,0.0745726756063511,3.9001138858707174,0.005599999999999999
0.14997,77446.486,3.3551,0.11495,0.0,0.59221,0.36905,0.50316,3.3551,0.11495,0.6174721469437081,1.6200000000000043,0.36905,0.5031903463203456,0.072934107036513,3.8901555737027027,0.005599999999999999
0.14998,77506.487,3.3592,0.11745,1.6663,0.6102,0.37744,0.50381,3.3592,0.11745,0.6174721469437099,1.6200000000000043,0.37744,0.5037890909090902,0.0707602163443219,3.9162207927187267,0.005599999999999999
0.14997,77566.489,3.3632,0.11995,,0.63267,0.38584,0.50438,3.3632,0.11995,0.6600877192982395,1.5227370403456462,0.38584,0.5043783982683976,0.0687719027004796,3.966398147734836,0.005599999999999999
0.14998,77626.487,3.3668,0.12244,1.5512,0.65688,0.39424,0.50495,3.3668,0.12244,0.6930555555555458,1.4428973609871036,0.39424,0.5049444588744582,0.0661373984956696,3.966398147734836,0.005599999999999999
0.14998,77686.487,3.3704,0.12494,,,0.40266,0.50549,3.3704,0.12494,0.7154528478057749,1.3999999999999773,0.40266,0.5054907792207786,0.0632234189703986,4.006713639126903,0.005599999999999999
0.14998,77746.489,3.3738,0.12744,0.0,0.69208,0.41109,0.506,3.3738,0.12744,0.7249421507733587,1.3799999999999957,0.41109,0.5060097402597394,0.0599153713032656,4.006713639126903,0.005599999999999999
0.14997,77806.487,3.3773,0.12994,1.4078,0.73304,0.41952,0.50649,3.3773,0.12994,0.7638710009788436,1.3266666666665683,0.41952,0.5065009523809516,0.0562075755118769,4.115170026855044,0.005599999999999999
0.14998,77866.487,3.3804,0.13244,,,0.42797,0.50699,,,,,0.42797,0.5069584415584408,0.0533312841005191,4.265798540447293,0.005599999999999999
0.14998,77926.487,3.3832,0.13494,0.0,0.8037,0.43642,0.50741,3.3832,0.13494,0.901290529788774,1.113333333333344,0.43642,0.5074022510822503,0.0509617281120604,4.265798540447293,0.005599999999999999
0.14997,77986.486,3.3859,0.13744,1.1854,,0.44488,0.50778,3.3859,0.13744,0.9518999518999748,1.0533333333332564,0.44488,0.5078201731601725,0.047700920041354,4.430677326415589,0.005599999999999999
0.14998,78046.488,3.3884,0.13994,,0.8957,0.45334,0.50819,,,,,0.45334,0.50820935064935,0.0430633867307364,4.430677326415589,0.005599999999999999
0.14999,78106.488,3.3909,0.14244,0.0,,0.46181,0.5086,3.3909,0.14244,1.1570152693747815,0.8906722353616487,0.46181,0.5085491774891767,0.0383297657899532,4.430677326415589,0.005599999999999999
0.14998,78166.488,3.393,0.14493,,1.0401,0.47029,0.50888,,,,,0.47029,0.5088590043290036,0.0352216572735422,4.687905593264079,0.005599999999999999
0.14998,78226.486,3.3948,0.14743,0.0,,0.47877,0.50915,3.3948,0.14743,1.358058608058613,0.7408223855117626,0.47877,0.509146536796536,0.0326155762476574,4.687905593264079,0.005599999999999999
0.14996,78286.486,3.3966,0.14993,0.87576,1.2678,0.48725,0.50935,,,,,0.48725,0.5094121645021639,0.0295423898026143,4.687905593264079,0.005599999999999999
0.14997,78346.487,3.3983,0.15243,,,0.49574,0.50964,3.3983,0.15243,1.5909090909091237,0.643999999999977,0.49574,0.5096478354978349,0.0275921842376938,5.079655466856749,0.005599999999999999
0.14998,78406.488,3.3999,0.15493,0.0,0.0,0.50424,0.50992,,,,,0.50424,0.5098809523809515,0.0271228051897729,5.079655466856749,0.005599999999999999
0.14998,78466.486,3.4014,0.15743,,1.6167,0.51273,0.51014,,,,,0.51273,0.5101086580086572,0.0258769361711905,5.079655466856749,0.005599999999999999
0.14997,78526.487,3.4025,0.15993,0.0,,0.52124,0.51027,3.4025,0.15993,1.912570255608156,0.5269739773111155,0.52124,0.5103208225108218,0.0230425391529074,5.545791280009489,0.005599999999999999
0.14998,78586.487,3.4038,0.16243,,0.0,0.52974,0.5105,,,,,0.52974,0.5105006493506486,0.0206530727652776,5.545791280009489,0.005599999999999999
0.14998,78646.489,3.4051,0.16493,0.0,,0.53825,0.5107,,,,,0.53825,0.5106721212121205,0.0195848021934956,5.545791280009489,0.005599999999999999
0.14997,78706.487,3.4062,0.16742,0.55407,0.0,0.54676,0.51083,3.4062,0.16742,2.22104102226054,0.4580228641047199,0.54676,0.510833982683982,0.0193482584787005,5.545791280009489,0.005599999999999999
0.14997,78766.486,3.4073,0.16992,,2.0395,0.55527,0.51099,,,,,0.55527,0.5110014285714279,0.0188041048572635,5.545791280009489,0.005599999999999999
0.14998,78826.488,3.4082,0.17242,0.0,,0.56379,0.51116,,,,,0.56379,0.5111541991341984,0.0177885494786878,6.011927093162275,0.005599999999999999
0.14997,78886.489,3.4092,0.17492,,0.0,0.57231,0.51128,,,,,0.57231,0.5113045454545447,0.0178571428571459,6.011927093162275,0.005599999999999999
0.14998,78946.487,3.4103,0.17742,0.0,,0.58083,0.51148,3.4103,0.17742,2.71353419416549,0.3749999999999716,0.58083,0.5114584848484841,0.0173261792980028,6.011927093162275,0.005599999999999999
0.14998,79006.489,3.4112,0.17992,,0.0,0.58935,0.51161,,,,,0.58935,0.5115997835497827,0.0163692207796302,6.011927093162275,0.005599999999999999
0.14998,79066.486,3.412,0.18242,0.0,2.5252,0.59788,0.51173,,,,,0.59788,0.5117375757575751,0.016206533706029,6.011927093162275,0.005599999999999999
0.14998,79126.488,3.4129,0.18492,,,0.6064,0.51187,,,,,0.6064,0.5118761038961032,0.0153873963675152,6.011927093162275,0.005599999999999999
0.14998,79186.488,3.4137,0.18742,0.0,0.0,0.61493,0.51199,3.4137,0.18742,2.9888512673360985,0.3347810627336969,0.61493,0.5119999134199127,0.0144739980613408,6.43589078045102,0.005599999999999999
0.14998,79246.489,3.4147,0.18992,,,0.62346,0.51214,,,,,0.62346,0.5121230303030296,0.0149112999940683,6.43589078045102,0.005599999999999999
0.14998,79306.488,3.4155,0.19241,0.0,0.0,0.632,0.51226,,,,,0.632,0.5122544588744582,0.0144822083640576,6.43589078045102,0.005599999999999999
0.14998,79366.488,3.4162,0.19491,0.36958,2.9462,0.64053,0.51236,,,,,0.64053,0.512370259740259,0.0141858402194969,6.43589078045102,0.005599999999999999
0.14998,79426.487,3.417,0.19741,,,0.64907,0.51248,,,,,0.64907,0.5124966233766226,0.014081936798572,6.43589078045102,0.005599999999999999
0.14999,79486.488,3.4178,0.19991,0.0,,0.65761,0.51264,3.4178,0.19991,3.1831631688410056,0.3154215769851305,0.65761,0.5126107792207786,0.01359530399343,6.43589078045102,0.005599999999999999
0.14997,79546.49,3.4187,0.20241,,0.0,0.66615,0.5127,,,,,0.66615,0.5127288311688304,0.0137293105783804,6.43589078045102,0.005599999999999999
0.14999,79606.487,3.4194,0.20491,0.0,,0.6747,0.51288,,,,,0.6747,0.5128454112554105,0.013313401835866,6.7774632990276835,0.005599999999999999
0.14998,79666.487,3.42,0.20741,,0.0,0.68324,0.51293,,,,,0.68324,0.5129563636363629,0.0127390691005153,6.7774632990276835,0.005599999999999999
0.14999,79726.487,3.4207,0.20991,0.0,,0.69179,0.51307,,,,,0.69179,0.5130631168831161,0.0126882863724979,6.7774632990276835,0.005599999999999999
0.14998,79786.487,3.4216,0.21241,,3.2871,0.70034,0.51317,,,,,0.70034,0.5131733333333326,0.0121718437507922,6.7774632990276835,0.005599999999999999
0.14998,79846.486,3.4223,0.21491,0.0,,0.70889,0.51328,3.4223,0.21491,3.52711590965503,0.2848405461364507,0.70889,0.5132712554112546,0.0120198509358964,6.7774632990276835,0.005599999999999999
0.14998,79906.487,3.423,0.2174,,0.0,0.71745,0.51338,,,,,0.71745,0.5133790043290035,0.0121566362337084,6.7774632990276835,0.005599999999999999
0.14998,79966.487,3.4236,0.2199,0.0,,0.726,0.51347,,,,,0.726,0.5134792640692633,0.011727021386406,6.7774632990276835,0.005599999999999999
0.14998,80026.488,3.4243,0.2224,,0.0,0.73456,0.51358,,,,,0.73456,0.513579653679653,0.0115583404134902,6.7774632990276835,0.005599999999999999
0.14998,80086.487,3.425,0.2249,0.0,,0.74312,0.51368,,,,,0.74312,0.5136771428571422,0.011704620135724,7.010482981332084,0.005599999999999999
0.14998,80146.487,3.4257,0.2274,,0.0,0.75167,0.51379,3.4257,0.2274,3.626787557128086,0.2758397910321264,0.75167,0.5137799134199127,0.0120160305274978,7.010482981332084,0.005599999999999999
0.14997,80206.487,3.4265,0.2299,0.29455,3.5486,0.76024,0.51387,,,,,0.76024,0.5138828571428563,0.0120849061427783,7.010482981332084,0.005599999999999999
0.14997,80266.487,3.4272,0.2324,,,0.7688,0.51398,,,,,0.7688,0.5139869264069257,0.0119249908969578,7.010482981332084,0.005599999999999999
0.14998,80326.487,3.4278,0.2349,0.0,0.0,0.77736,0.5141,,,,,0.77736,0.5140870129870122,0.0120894116391134,7.010482981332084,0.005599999999999999
0.14998,80386.488,3.4284,0.23739,,,0.78593,0.51419,,,,,0.78593,0.5141940259740252,0.0122217339253545,7.010482981332084,0.005599999999999999
0.14998,80446.487,3.4291,0.23989,0.0,0.0,0.7945,0.5143,,,,,0.7945,0.5142964935064928,0.0114690832310486,7.010482981332084,0.005599999999999999
0.14997,80506.488,3.4299,0.24239,,,0.80307,0.51438,3.4299,0.24239,3.767666040100252,0.2667645393323852,0.80307,0.5143906060606054,0.0108023054347405,7.010482981332084,0.005599999999999999
0.14998,80566.487,3.4305,0.24489,0.0,0.0,0.81164,0.51451,,,,,0.81164,0.5144816450216443,0.010900806700107,7.125184412284201,0.005599999999999999
0.14997,80626.487,3.4311,0.24739,,,0.82021,0.51456,,,,,0.82021,0.5145774458874451,0.0116183830371738,7.125184412284201,0.005599999999999999
0.14998,80686.489,3.4316,0.24989,0.0,3.7771,0.82879,0.51467,,,,,0.82879,0.5146809090909082,0.0123386196947059,7.125184412284201,0.005599999999999999
0.14998,80746.488,3.4323,0.25239,,,0.83736,0.51478,,,,,0.83736,0.514789047619047,0.0122932370360189,7.125184412284201,0.005599999999999999
0.14998,80806.488,3.4331,0.25489,0.0,0.0,0.84594,0.5149,,,,,0.84594,0.5148917316017309,0.0124042624042637,7.125184412284201,0.005599999999999999
0.14999,80866.488,3.4337,0.25739,,,0.85452,0.51502,3.4337,0.25739,4.003699170406538,0.2498806282656289,0.85452,0.5150019047619041,0.0113876022966969,7.125184412284201,0.005599999999999999
0.14998,80926.488,3.4344,0.25989,0.0,0.0,0.8631,0.51509,,,,,0.8631,0.5150871428571422,0.0099337673513701,7.125184412284201,0.005599999999999999
0.14998,80986.489,3.4349,0.26238,,,0.87169,0.51517,,,,,0.87169,0.5151724675324668,0.0102341470396929,7.125184412284201,0.005599999999999999
0.14998,81046.487,3.4355,0.26488,0.0,0.0,0.88027,0.51526,,,,,0.88027,0.5152628571428565,0.0102014088092552,7.125184412284201,0.005599999999999999
0.14997,81106.488,3.4361,0.26738,0.26068,,0.88886,0.51531,,,,,0.88886,0.5153476190476184,0.0102544169895466,7.201426986316308,0.005599999999999999
0.14998,81166.488,3.4369,0.26988,,3.9149,0.89744,0.51547,,,,,0.89744,0.515438917748917,0.0106976422631497,7.201426986316308,0.005599999999999999
0.14998,81226.486,3.4375,0.27238,0.0,,0.90603,0.51556,,,,,0.90603,0.515531298701298,0.0111299255653136,7.201426986316308,0.005599999999999999
0.14997,81286.488,3.438,0.27488,,0.0,0.91462,0.5156,3.438,0.27488,4.002302159360397,0.2499728725933749,0.91462,0.5156301298701291,0.0119866768130094,7.201426986316308,0.005599999999999999
0.14998,81346.487,3.4386,0.27738,0.0,,0.92322,0.51572,,,,,0.92322,0.5157373593073585,0.0114773825309697,7.201426986316308,0.005599999999999999
0.14998,81406.487,3.4393,0.27988,,0.0,0.93181,0.51583,,,,,0.93181,0.5158274458874451,0.0111022078426081,7.201426986316308,0.005599999999999999
0.14998,81466.487,3.4401,0.28238,0.0,,0.9404,0.51595,,,,,0.9404,0.5159280952380946,0.0113832272111409,7.201426986316308,0.005599999999999999
0.14998,81526.487,3.4407,0.28487,,0.0,0.949,0.51604,,,,,0.949,0.5160231168831162,0.0106211617839448,7.201426986316308,0.005599999999999999
0.14997,81586.488,3.4413,0.28737,0.0,,0.9576,0.51609,,,,,0.9576,0.5161107792207785,0.0103015201852514,7.201426986316308,0.005599999999999999
0.14998,81646.487,3.4418,0.28987,,3.9636,0.9662,0.5162,3.4418,0.28987,3.919167899668942,0.2551819725806439,0.9662,0.5162003030303024,0.01054062216852,7.193325308620308,0.005599999999999999
0.14997,81706.487,3.4425,0.29237,0.0,,0.9748,0.51627,,,,,0.9748,0.5162920779220772,0.0112528943924239,7.193325308620308,0.005599999999999999
0.14998,81766.487,3.4432,0.29487,,0.0,0.9834,0.51641,,,,,0.9834,0.5163938528138521,0.0115384862336505,7.193325308620308,0.005599999999999999
0.14998,81826.487,3.4438,0.29737,0.0,,0.99201,0.5165,,,,,0.99201,0.5164906493506486,0.0111621009422044,7.193325308620308,0.005599999999999999
0.14998,81886.487,3.4444,0.29987,,0.0,1.0006,0.51659,,,,,1.0006,0.5165858441558434,0.0109095938715846,7.193325308620308,0.005599999999999999
0.14998,81946.488,3.445,0.30237,0.0,,1.0092,0.51668,,,,,1.0092,0.516678181818181,0.0105330715795872,7.193325308620308,0.005599999999999999
0.14997,82006.488,3.4456,0.30487,,0.0,1.0178,0.51674,,,,,1.0178,0.5167670129870123,0.0108250276854953,7.193325308620308,0.005599999999999999
0.14998,82066.488,3.4463,0.30737,0.2527,3.9382,1.0264,0.51688,3.4463,0.30737,3.814035947712526,0.262368460504959,1.0264,0.5168643722943715,0.0110013875237697,7.193325308620308,0.005599999999999999
0.14997,82126.487,3.447,0.30986,,,1.0351,0.51695,,,,,1.0351,0.516957272727272,0.0108520342557163,7.193325308620308,0.005599999999999999
0.14998,82186.487,3.4476,0.31236,0.0,0.0,1.0437,0.51707,,,,,1.0437,0.5170520779220772,0.0109357696566974,7.0589001504201585,0.005599999999999999
0.14998,82246.486,3.4481,0.31486,,,1.0523,0.51715,,,,,1.0523,0.5171453679653671,0.0110238598610692,7.0589001504201585,0.005599999999999999
0.14997,82306.486,3.4488,0.31736,0.0,0.0,1.0609,0.51722,,,,,1.0609,0.5172416883116876,0.011534783046418,7.0589001504201585,0.005599999999999999
0.14998,82366.488,3.4494,0.31986,,,1.0695,0.51734,,,,,1.0695,0.5173437662337655,0.0119303291925696,7.0589001504201585,0.005599999999999999
0.14997,82426.487,3.4503,0.32236,0.0,0.0,1.0782,0.51744,3.4503,0.32236,3.747499999999995,0.2668445630420279,1.0782,0.5174480952380945,0.0116063085432358,7.0589001504201585,0.005599999999999999
0.14998,82486.488,3.451,0.32486,,,1.0868,0.51758,,,,,1.0868,0.5175446320346313,0.011444175979058,7.0589001504201585,0.005599999999999999
0.14998,82546.487,3.4514,0.32736,0.0,3.8492,1.0954,0.51764,,,,,1.0954,0.5176449350649344,0.0118443571931905,7.0589001504201585,0.005599999999999999
0.14998,82606.486,3.4521,0.32986,,,1.104,0.51775,,,,,1.104,0.5177483549783543,0.0116204552161782,7.0589001504201585,0.005599999999999999
0.14997,82666.486,3.4527,0.33236,0.0,0.0,1.1127,0.5178,,,,,1.1127,0.5178458874458867,0.011329342914049,7.0589001504201585,0.005599999999999999
0.14998,82726.486,3.4536,0.33486,,,1.1213,0.51797,,,,,1.1213,0.5179443290043284,0.0116027383469266,6.910031822755911,0.005599999999999999
0.14998,82786.488,3.4543,0.33735,0.0,0.0,1.1299,0.51808,3.4543,0.33735,3.748749999999994,0.266755644513637,1.1299,0.5180454545454538,0.0122596395852063,6.910031822755911,0.005599999999999999
0.14997,82846.486,3.4549,0.33985,,,1.1385,0.51813,,,,,1.1385,0.518155194805194,0.0129893564404639,6.910031822755911,0.005599999999999999
0.14998,82906.488,3.4555,0.34235,0.0,0.0,1.1472,0.51826,,,,,1.1472,0.5182702164502158,0.0124754799419051,6.910031822755911,0.005599999999999999
0.14998,82966.487,3.4561,0.34485,0.2643,,1.1558,0.51835,,,,,1.1558,0.5183711688311681,0.0120203462996038,6.910031822755911,0.005599999999999999
0.14999,83026.487,3.457,0.34735,,3.6996,1.1645,0.51852,,,,,1.1645,0.5184782251082244,0.0125392856208144,6.910031822755911,0.005599999999999999
0.14998,83086.487,3.4577,0.34985,0.0,,1.1731,0.51859,,,,,1.1731,0.5185880519480512,0.0121992348736554,6.910031822755911,0.005599999999999999
0.14998,83146.487,3.4583,0.35235,,0.0,1.1817,0.51868,3.4583,0.35235,3.6532380952379375,0.2740643636529114,1.1817,0.5186880519480512,0.0119844436697427,6.910031822755911,0.005599999999999999
0.14998,83206.487,3.459,0.35485,0.0,,1.1904,0.51878,,,,,1.1904,0.5187954545454538,0.0118148391110928,6.685113818147452,0.005599999999999999
0.14998,83266.488,3.4597,0.35734,,0.0,1.199,0.51889,,,,,1.199,0.5188925541125533,0.0117777358250492,6.685113818147452,0.005599999999999999
0.14998,83326.488,3.4605,0.35984,0.0,,1.2077,0.51901,,,,,1.2077,0.5189993073593067,0.012494125229427,6.685113818147452,0.005599999999999999
0.14998,83386.488,3.4613,0.36234,,0.0,1.2163,0.51913,,,,,1.2163,0.5191086580086572,0.0128874200616273,6.685113818147452,0.005599999999999999
0.14998,83446.486,3.4618,0.36484,0.0,3.5263,1.225,0.5192,3.4618,0.36484,3.3966726066725315,0.2961057319645022,1.225,0.5192222943722936,0.0131354983712839,6.685113818147452,0.005599999999999999
0.14998,83506.487,3.4626,0.36734,,,1.2336,0.51932,,,,,1.2336,0.5193358874458868,0.0133408032207995,6.685113818147452,0.005599999999999999
0.14998,83566.486,3.4635,0.36984,0.0,0.0,1.2423,0.51946,,,,,1.2423,0.5194531168831161,0.0128902120053098,6.685113818147452,0.005599999999999999
0.14998,83626.487,3.4643,0.37234,,,1.2509,0.51958,,,,,1.2509,0.5195590043290037,0.0130435722543431,6.484211500995087,0.005599999999999999
0.14998,83686.487,3.465,0.37484,0.0,0.0,1.2596,0.51968,,,,,1.2596,0.519678917748917,0.0132764620960585,6.484211500995087,0.005599999999999999
0.14998,83746.487,3.4657,0.37734,,,1.2682,0.51979,3.4657,0.37734,3.1643370658877856,0.316129754383752,1.2682,0.5197887878787872,0.0127397012244401,6.484211500995087,0.005599999999999999
0.14997,83806.488,3.4664,0.37983,0.29165,3.3183,1.2769,0.51986,,,,,1.2769,0.5198993073593066,0.0131984873364068,6.484211500995087,0.005599999999999999
0.14999,83866.489,3.4672,0.38233,,,1.2856,0.52005,,,,,1.2856,0.5200184415584408,0.0140698353006776,6.484211500995087,0.005599999999999999
0.14997,83926.487,3.4682,0.38483,0.0,0.0,1.2942,0.52013,,,,,1.2942,0.5201426406926399,0.0140648881958718,6.484211500995087,0.005599999999999999
0.14998,83986.489,3.4689,0.38733,,,1.3029,0.52027,,,,,1.3029,0.5202616883116875,0.013469672090359,6.484211500995087,0.005599999999999999
0.14998,84046.488,3.4697,0.38983,0.0,0.0,1.3116,0.52039,3.4697,0.38983,3.0511295005807284,0.3281249524629572,1.3116,0.5203770129870122,0.0133053778433982,6.295220579026776,0.005599999999999999
0.14998,84106.488,3.4704,0.39233,,,1.3202,0.52049,,,,,1.3202,0.5204918614718608,0.0135378917693529,6.295220579026776,0.005599999999999999
0.14997,84166.488,3.4713,0.39483,0.0,3.1119,1.3289,0.52059,,,,,1.3289,0.5206112554112546,0.0141687814101594,6.295220579026776,0.005599999999999999
0.14998,84226.489,3.472,0.39733,,,1.3376,0.52073,,,,,1.3376,0.5207383982683975,0.0151888341543475,6.295220579026776,0.005599999999999999
0.14998,84286.487,3.4731,0.39983,0.0,0.0,1.3463,0.5209,,,,,1.3463,0.5208755411255404,0.0154450913071642,6.295220579026776,0.005599999999999999
0.14997,84346.487,3.4739,0.40233,,,1.355,0.52098,3.4739,0.40233,2.9090128863384948,0.3441441703983514,1.355,0.5210071428571421,0.0146353965362351,6.295220579026776,0.005599999999999999
0.14999,84406.486,3.4747,0.40482,0.0,0.0,1.3636,0.52117,,,,,1.3636,0.5211288311688305,0.0141505802650883,6.295220579026776,0.005599999999999999
0.14998,84466.488,3.4755,0.40732,,,1.3723,0.52126,,,,,1.3723,0.5212519480519473,0.0145519231726183,6.094318261874499,0.005599999999999999
0.14997,84526.487,3.4763,0.40982,0.32922,2.9511,1.381,0.52134,,,,,1.381,0.5213820346320339,0.0149773598049449,6.094318261874499,0.005599999999999999
0.14997,84586.487,3.4773,0.41232,,,1.3897,0.52149,,,,,1.3897,0.5215125541125534,0.0148604269293883,6.094318261874499,0.005599999999999999
0.14998,84646.487,3.4783,0.41482,0.0,0.0,1.3984,0.52168,3.4783,0.41482,2.896479500891246,0.3454610162118285,1.3984,0.5216406060606054,0.0151216599492549,6.094318261874499,0.005599999999999999
0.14998,84706.487,3.4791,0.41732,,,1.4071,0.5218,,,,,1.4071,0.5217756709956703,0.0154027964372751,6.094318261874499,0.005599999999999999
0.14997,84766.487,3.4799,0.41982,0.0,0.0,1.4158,0.52188,,,,,1.4158,0.5219086147186139,0.0153505498332968,6.094318261874499,0.005599999999999999
0.14998,84826.488,3.4808,0.42232,,,1.4245,0.52205,,,,,1.4245,0.5220427705627698,0.0152062496890152,5.885507164114137,0.005599999999999999
0.14997,84886.488,3.4817,0.42482,0.0,2.7797,1.4332,0.52215,3.4817,0.42482,2.8005768770922685,0.3597009541826423,1.4332,0.5221732034632027,0.0160073642832259,5.885507164114137,0.005599999999999999
0.14997,84946.486,3.4828,0.42732,,,1.4419,0.52232,,,,,1.4419,0.522321298701298,0.0169726824899179,5.885507164114137,0.005599999999999999
0.14998,85006.487,3.4838,0.42982,0.0,0.0,1.4506,0.5225,,,,,1.4506,0.5224685281385273,0.0163780663780563,5.885507164114137,0.005599999999999999
0.14997,85066.487,3.4847,0.43232,,,1.4593,0.5226,,,,,1.4593,0.5226062770562763,0.0165696372592947,5.885507164114137,0.005599999999999999
0.14998,85126.488,3.4855,0.43482,0.0,0.0,1.468,0.52276,,,,,1.468,0.522756839826839,0.0167114494700655,5.885507164114137,0.005599999999999999
0.14997,85186.487,3.4865,0.43731,0.36594,2.6617,1.4767,0.52287,3.4865,0.43731,2.5811284261714604,0.3874688510257158,1.4767,0.5228970562770554,0.0159426780116405,5.794917869161945,0.005599999999999999
0.14998,85246.488,3.4874,0.43981,,,1.4854,0.52304,,,,,1.4854,0.5230342424242416,0.0164104095138633,5.794917869161945,0.005599999999999999
0.14998,85306.486,3.4885,0.44231,0.0,0.0,1.4941,0.52321,,,,,1.4941,0.5231825974025965,0.0166429243493766,5.794917869161945,0.005599999999999999
